iter,cell,n_p,u_p,d_p,n_d,u_d,d_d,y
1,2,-1,3,-1,1,0,1,5
2,2,2,2,4,0,0,0,4
3,2,-1,1,3,1,0,0,3
4,2,9,-1,2,0,1,0,2
5,3,3,8,-1,0,0,1,2
6,4,1,-1,5,0,1,0,2
7,5,2,5,9,0,0,0,2
8,6,0,-1,-1,0,1,1,2
9,7,4,9,3,0,0,0,2
10,8,-1,-1,2,1,1,0,2
11,8,3,4,-1,0,0,1,3
12,9,-1,-1,4,1,1,0,3
13,9,7,3,2,0,0,0,4
14,10,7,-1,-1,0,1,1,4
15,11,5,8,9,0,0,0,4
16,12,3,3,-1,0,0,1,4
17,13,4,1,4,0,0,0,4
18,14,-1,-1,5,1,1,0,4
19,14,4,4,6,0,0,0,5
20,15,-1,-1,5,1,1,0,5
21,15,6,4,7,0,0,0,6
22,16,7,-1,-1,0,1,1,6
23,17,3,3,-1,0,0,1,6
24,18,-1,-1,4,1,1,0,6
25,18,5,3,2,0,0,0,7
26,18,4,4,8,0,0,0,8
27,19,6,5,-1,0,0,1,8
28,20,-2,-1,-1,0,1,1,8
