Tarih,Test Sayisi,Toplam Hasta Sayisi,Toplam Olum Sayisi,Hastalarda Pnomoni Oranı,Agir hasta Sayisi,Toplam Iyilesen Hasta Sayisi,Bugunku Vaka Sayisi,Gunku Hasta Sayisi,Gunku Test Sayisi,Gunku Olum Sayisi,Gunku Iyılesen Hasta Sayisi
Jul 3,2021,61455218,5440368,49874,3,7,702,5310769,4537,478,218924
Jul 2,2021,61236294,5435831,49829,3,7,697,5305856,4891,461,223782
Jul 1,2021,61012512,5430940,49774,3,7,706,5300504,5288,462,225537
Jun 30,2021,60786975,5425652,49732,3,7,727,5294285,5496,522,228163
Jun 29,2021,60558812,5420156,49687,3,7,730,5287094,5846,510,229846
Jun 28,2021,60328966,5414310,49634,2,9,751,5280558,5283,431,223525
Jun 27,2021,60105441,5409027,49576,2,9,736,5275231,4883,390,215294
Jun 26,2021,59890147,5404144,49524,2,9,733,5269294,5266,470,222561
Jun 25,2021,59667586,5398878,49473,2,9,737,5261892,5630,477,222936
Jun 24,2021,59444650,5393248,49417,2,9,752,5254708,5703,498,223385
Jun 23,2021,59221265,5387545,49358,2,9,763,5248862,5809,550,224192
Jun 22,2021,58997073,5381736,49293,2,9,791,5242945,6143,565,223238
Jun 21,2021,58773835,5375593,49236,2,9,808,5237731,5294,429,221052
Jun 20,2021,58552783,5370299,49185,3,4,813,5232638,5091,409,213297
Jun 19,2021,58339486,5365208,49122,3,4,829,5228419,5480,494,215496
Jun 18,2021,58123990,5359728,49071,3,4,856,5224224,5575,497,224128
Jun 17,2021,57899862,5354153,49012,3,4,860,5219797,5904,509,225064
Jun 16,2021,57674798,5348249,48950,3,4,881,5215654,6221,548,227163
Jun 15,2021,57447635,5342028,48879,3,4,886,5211022,5955,532,223846
Jun 14,2021,57223789,5336073,48795,3,4,929,5206836,5626,428,219290
Jun 13,2021,57004499,5330447,48721,2,7,952,5202251,5012,454,214957
Jun 12,2021,56789542,5325435,48668,2,7,973,5198057,6076,503,218758
Jun 11,2021,56570784,5319359,48593,2,7,997,5192945,6261,561,224128
Jun 10,2021,56346656,5313098,48524,2,7,1009,5186728,6408,563,223320
Jun 9,2021,56123336,5306690,48428,2,7,1018,5179833,6454,558,224193
Jun 8,2021,55899143,5300236,48341,2,7,1044,5173186,6609,557,225527
Jun 7,2021,55673616,5293627,48255,2,7,1060,5167350,5647,495,218164
Jun 6,2021,55455452,5287980,48164,2,8,1096,5160774,5386,482,204827
Jun 5,2021,55250625,5282594,48068,2,8,1147,5154771,6126,542,216156
Jun 4,2021,55034469,5276468,47976,2,8,1183,5147610,6169,552,224681
Jun 3,2021,54809788,5270299,47882,2,8,1219,5139993,6602,563,222847
Jun 2,2021,54586941,5263697,47768,2,8,1213,5131453,7181,586,224150
Jun 1,2021,54362791,5256516,47656,2,8,1241,5124081,7112,602,223482
May 31,2021,54139309,5249404,47527,2,8,1339,5114624,6493,596,219461
May 30,2021,53919848,5242911,47405,3,1,1390,5105042,6933,582,218957
May 29,2021,53700891,5235978,47271,3,1,1391,5094279,7656,605,222613
May 28,2021,53478278,5228322,47134,3,1,1454,5083099,7773,656,220162
May 27,2021,53258116,5220549,46970,3,1,1504,5070815,8426,673,219465
May 26,2021,53038651,5212123,46787,3,1,1561,5057713,8738,681,221214
May 25,2021,52817437,5203385,46621,3,1,1667,5045508,9375,693,223104
May 24,2021,52594333,5194010,46446,3,1,1745,5034316,7523,702,216655
May 23,2021,52377678,5186487,46268,3,2,1843,5024313,7839,710,210291
May 22,2021,52167387,5178648,46071,3,2,1876,5013111,8697,835,216658
May 21,2021,51950729,5169951,45840,3,2,1977,4998639,9528,846,218846
May 20,2021,51731883,5160423,45626,3,2,2041,4989787,9385,856,219192
May 19,2021,51512691,5151038,45419,3,2,2162,4980516,11553,902,218683
May 18,2021,51294008,5139485,45186,3,2,2232,4971245,11937,916,217276
May 17,2021,51076732,5127548,44983,3,2,2326,4961120,10174,923,206836
May 16,2021,50869896,5117374,44760,4,2468,4947256,10512,920,202243,223
May 15,2021,50667653,5106862,44537,4,2563,4932838,11472,1084,204637,236
May 14,2021,50463016,5095390,44301,4,2670,4894024,11394,1102,203073,242
May 13,2021,50259943,5083996,44059,4,2765,4856763,11534,1217,201295,238
May 12,2021,50058648,5072462,43821,4,2827,4801291,13029,1496,228192,232
May 11,2021,49830456,5059433,43589,4,2975,4766124,14497,1582,226452,278
May 10,2021,49604004,5044936,43311,4,2983,4743871,13604,1734,213863,282
May 9,2021,49390141,5031332,43029,3,2,3081,4716918,15191,2102,197468
May 8,2021,49192673,5016141,42746,3,2,3175,4691224,18052,2178,228873
May 7,2021,48963800,4998089,42465,3,2,3260,4662328,20107,2210,251194
May 6,2021,48712606,4977982,42187,3,2,3378,4626799,22388,2401,253382
May 5,2021,48459224,4955594,41883,3,2,3418,4589501,26476,2414,229491
May 4,2021,48229733,4929118,41527,3,2,3452,4554037,28997,2483,241747
May 3,2021,47987986,4900121,41191,3,2,3438,4515819,24733,2501,243648
May 2,2021,47744338,4875388,40844,2,4,3532,4480381,25980,2587,240145
May 1,2021,47504193,4849408,40504,2,4,3525,4405199,28817,2615,242194
Apr 30,2021,47261999,4820591,40131,2,4,3534,4323897,31891,2673,265287
Apr 29,2021,46996712,4788700,39737,2,4,3581,4255714,37674,2715,278108
