Zaman,Enlem,Boylam,Derinlik,Buyukluk
2020-11-09 20:30:59,37.8720,26.9730,6.98,4.2
2020-11-09 14:16:25,39.6858,23.0731,3.60,4.0
2020-11-08 09:22:54,39.3793,40.7516,9.15,4.2
2020-11-05 22:16:22,39.9401,23.5773,8.32,4.5
2020-11-04 02:24:17,37.7753,27.0506,7.98,4.0
2020-11-03 20:35:37,37.9090,26.4931,16.05,4.1
2020-11-02 19:16:40,37.9133,26.5003,6.85,4.2
2020-11-02 11:58:03,37.8818,26.9240,6.18,4.1
2020-11-01 12:57:03,37.8461,26.8586,6.98,4.2
2020-11-01 07:33:07,37.8118,26.8628,6.92,4.2
2020-11-01 07:05:13,37.8516,27.0101,7.00,4.5
2020-10-31 14:42:43,37.8700,26.4736,6.63,4.1
2020-10-31 12:37:03,37.9140,26.6630,16.20,4.0
2020-10-31 08:46:59,37.8770,26.4890,20.10,4.0
2020-10-31 08:41:51,37.8863,26.9460,7.66,4.0
2020-10-31 05:31:30,37.8701,26.8303,7.33,5.0
2020-10-31 04:13:38,37.8988,26.5091,6.39,4.1
2020-10-31 02:10:27,37.8713,26.9260,6.97,4.3
2020-10-31 01:40:31,37.8885,26.4998,11.09,4.2
2020-10-31 00:20:51,37.8205,26.9780,10.61,4.1
2020-10-30 23:33:25,37.8645,26.8733,7.77,4.0
2020-10-30 23:09:32,37.9101,26.9260,10.20,4.0
2020-10-30 23:05:30,37.8153,26.8593,10.07,4.0
2020-10-30 22:53:21,37.8376,26.7476,8.82,4.2
2020-10-30 22:37:08,37.8558,26.8818,9.01,4.0
2020-10-30 21:46:25,37.8341,26.8193,12.97,4.0
2020-10-30 20:35:24,37.7995,26.5445,18.28,4.1
2020-10-30 19:09:41,37.8970,26.4975,6.60,4.2
2020-10-30 19:02:51,37.9246,26.5470,7.05,4.1
2020-10-30 17:16:03,37.8471,26.9623,7.46,4.1
2020-10-30 16:18:27,37.6691,27.2120,12.40,4.0
2020-10-30 15:24:34,37.8830,26.8586,9.74,4.0
2020-10-30 15:19:16,37.8388,26.8780,7.02,4.4
2020-10-30 15:14:56,37.8331,26.8690,7.73,5.1
2020-10-30 15:06:46,37.8360,26.7925,10.42,4.0
2020-10-30 15:01:31,37.8468,26.8298,7.13,4.0
2020-10-30 14:47:41,37.8731,26.8796,6.97,4.1
2020-10-30 14:46:04,37.8191,26.8425,6.95,4.0
2020-10-30 13:06:57,37.8393,26.9850,7.10,4.2
2020-10-30 13:00:42,37.8520,26.8216,3.36,4.8
2020-10-30 12:29:51,37.9880,27.0716,7.29,4.2
2020-10-30 12:22:50,37.8925,26.9351,7.00,4.0
2020-10-30 12:19:09,37.7680,26.5430,13.90,4.7
2020-10-30 12:19:08,37.7568,26.4898,25.40,4.0
2020-10-30 12:01:37,37.8118,26.9185,6.82,4.0
2020-10-30 11:59:29,37.8423,26.9910,7.00,4.1
2020-10-30 11:58:05,37.8751,26.8986,7.00,4.2
2020-10-30 11:56:01,37.8800,26.5738,7.03,4.1
2020-10-30 11:55:01,37.9266,26.9485,7.00,4.1
2020-10-30 11:53:53,37.8406,26.7995,7.08,4.7
2020-10-30 11:51:24,37.8881,26.7770,16.54,6.6
2020-10-30 08:48:01,38.9385,40.4303,7.62,4.1
2020-10-28 09:16:14,39.8691,40.1658,6.79,4.3
2020-10-25 09:37:28,38.9660,40.4440,7.10,4.0
2020-10-21 06:48:47,34.3798,25.8403,7.83,4.1
2020-10-18 08:07:11,39.0790,23.3870,8.00,4.3
2020-10-12 08:53:22,35.7143,26.6285,18.95,4.0
2020-10-12 04:11:30,35.7495,26.1715,11.12,5.0
2020-10-12 00:44:27,35.6638,26.6131,11.12,4.2
2020-10-12 00:30:39,35.5423,26.0490,5.78,4.8
