Zaman,Enlem,Boylam,Derinlik,Buyukluk
1604943059,37872,26973,6.98,4.2
1604920585,39.6858,23.0731,3.6,4.0
1604816574,39.3793,40.7516,9.15,4.2
1604603782,39.9401,23.5773,8.32,4.5
1604445857,37.7753,27.0506,7.98,4.0
1604424937,37909,26.4931,16.05,4.1
1604333800,37.9133,26.5003,6.85,4.2
1604307483,37.8818,26924,6.18,4.1
1604224623,37.8461,26.8586,6.98,4.2
1604205187,37.8118,26.8628,6.92,4.2
1604203513,37.8516,27.0101,7.0,4.5
1604144563,37.87,26.4736,6.63,4.1
1604137023,37914,26663,16.2,4.0
1604123219,37877,26489,20.1,4.0
1604122911,37.8863,26946,7.66,4.0
1604111490,37.8701,26.8303,7.33,5.0
1604106818,37.8988,26.5091,6.39,4.1
1604099427,37.8713,26926,6.97,4.3
1604097631,37.8885,26.4998,11.09,4.2
1604092851,37.8205,26978,10.61,4.1
1604090005,37.8645,26.8733,7.77,4.0
1604088572,37.9101,26926,10.2,4.0
1604088330,37.8153,26.8593,10.07,4.0
1604087601,37.8376,26.7476,8.82,4.2
1604086628,37.8558,26.8818,9.01,4.0
1604083585,37.8341,26.8193,12.97,4.0
1604079324,37.7995,26.5445,18.28,4.1
1604074181,37897,26.4975,6.6,4.2
1604073771,37.9246,26547,7.05,4.1
1604067363,37.8471,26.9623,7.46,4.1
1604063907,37.6691,27212,12.4,4.0
1604060674,37883,26.8586,9.74,4.0
1604060356,37.8388,26878,7.02,4.4
1604060096,37.8331,26869,7.73,5.1
1604059606,37836,26.7925,10.42,4.0
1604059291,37.8468,26.8298,7.13,4.0
1604058461,37.8731,26.8796,6.97,4.1
1604058364,37.8191,26.8425,6.95,4.0
1604052417,37.8393,26985,7.1,4.2
1604052042,37852,26.8216,3.36,4.8
1604050191,37988,27.0716,7.29,4.2
1604049770,37.8925,26.9351,7.0,4.0
1604049549,37768,26543,13.9,4.7
1604049548,37.7568,26.4898,25.4,4.0
1604048497,37.8118,26.9185,6.82,4.0
1604048369,37.8423,26991,7.0,4.1
1604048285,37.8751,26.8986,7.0,4.2
1604048161,37.88,26.5738,7.03,4.1
1604048101,37.9266,26.9485,7.0,4.1
1604048033,37.8406,26.7995,7.08,4.7
1604047884,37.8881,26777,16.54,6.6
1604036881,38.9385,40.4303,7.62,4.1
1603865774,39.8691,40.1658,6.79,4.3
1603607848,38966,40444,7.1,4.0
1603252127,34.3798,25.8403,7.83,4.1
1602997631,39079,23387,8.0,4.3
1602482002,35.7143,26.6285,18.95,4.0
1602465090,35.7495,26.1715,11.12,5.0
1602452667,35.6638,26.6131,11.12,4.2
1602451839,35.5423,26049,5.78,4.8
1601899067,39982,23333,15.7,4.0
1601539540,36.6351,26.7785,46.37,4.3
1601428534,38.0525,34.0281,6.98,4.0
1601255561,39.9723,24.3981,37.57,4.6
1601200679,39.8771,24.3175,13.02,4.2
1601198535,39.7958,24.2316,11.73,4.4
1601150959,39.9746,24.1621,14.98,4.2
1601149818,39.9765,24.0316,11.75,5.3
1601134759,39962,24.4076,27.23,4.3
1600943911,40.8268,28092,6.83,4.2
1600898485,38.1298,34.0175,2.67,4.4
1600648650,38.0156,34.0233,7.03,4.1
1600618085,38011,34037,6.2,5.1
1600578960,34.4815,24619,7.28,4.2
1600572663,35.0468,26.4198,10.21,4.2
1600435692,34.8146,25.2608,7.09,5.7
1600401244,38.7055,38094,7.01,4.5
1600379270,38.71,38.07,15.02,4.1
1600377310,38691,41.9913,13.14,4.2
1600256899,38.7058,41981,17.08,4.7
1599782462,38515,23518,15.0,4.1
1599669152,39.3291,41.0421,7.0,4.1
1599591443,40.6886,27.4096,9.91,4.1
1599566775,38.1611,38.6501,7.0,4.0
1599560461,38183,38.66,10.1,4.1
1599557940,38169,38.6603,6.99,4.2
1599551047,38.1803,38.6886,11.42,4.6
1599457666,38739,41974,9.6,4.1
1599162074,35586,27623,24.6,4.2
1599134854,38015,23918,15.0,4.0
1598391730,34.9383,44.9776,6.37,4.1
1598198197,38.1681,38.7075,11.89,4.0
1597527629,34.3476,25.8968,7.05,4.1
1597401986,35055,26.6565,11.67,4.1
1597177748,39.8715,44077,6.47,4.4
1596953789,34.8325,45.0293,16.46,4.6
1596817213,38.1313,42.6135,6.99,4.6
1596555603,38.2386,38.7626,3.9,4.8
1596544258,38.2526,38.7788,7.31,4.4
1596523054,38.2193,38.7243,8.16,5.2
1595756538,34.4681,26.2191,7.7,4.0
1595642558,39.3603,40.2811,13.85,4.0
1595612486,40.1883,25.0591,43.58,4.2
1595546355,39.8478,30.4398,10.84,4.1
1594928007,35.6721,40.5645,6.7,4.5
1594912166,38.3811,26.69,7.0,4.1
1594715456,35.3281,41.0981,3.66,4.1
1594704793,35.8463,31397,20.92,4.0
1594522495,41.7665,43.7346,9.18,4.3
1594413167,34.9,23.4986,5.55,4.0
1594231074,38.1845,38.5706,7.01,4.4
